ID,region,basin,river,name,country,code,long,lat,area
RU_0000043,CA,Selenga,Selenga,Mostovoy,RU,1CA01,107.4958218,52.02083485,436782.75
RU_0000401,CA,Selenga,Khilok,Khailastuy,RU,1CA02,106.9874885,51.20416822,38267.73438
RU_0000400,CA,Selenga,Chikoy,Gremyachka,RU,1CA03,108.6124885,50.31250159,15589.31641
MN_0000002,CA,Selenga,Yeruu,Yeruu,MN,1CA04,106.6534506,49.73812384,9006.879921
RU_0000397,CA,Upper Angara,Verkhnyaya Angara,Verkhnyaya Zaimka,RU,1CA05,110.1541551,55.8458347,19650.28125
RU_0000398,CA,Upper Angara,Barguzin,Barguzin,RU,1CA06,109.5958217,53.59583479,19357.13086
RU_0000408,CA,Yenisei,Biryusa,Biryusinsk,RU,1CA07,97.77915556,55.96250136,24554.45313
RU_0000411,CA,Yenisei,Tuba,Bugurtak,RU,1CA08,92.87082242,53.79583478,31709.19336
RU_0000054,CA,Yenisei,Yenisei,Kyzyl,RU,1CA09,94.40415569,51.72083486,116250.8359
KZ_0000002,CA,Irtysh,Irtysh,Buran,KZ,1CA10,85.22082272,48.00416835,55821.31641
RU_0000036,EA,Amur,Amur,Khabarovsk,RU,2EA01,135.0458207,48.445835,1574482
JP_0000367,EA,Mogami,Mogami,Inakudashi,JP,2EA02,140.3459169,38.48133088,3737.701017
JP_0000446,EA,Edogawa,Edogawa,Noda,JP,2EA03,139.8926601,35.98749111,9255.340359
JP_0000759,EA,Yuragawa,Yuragawa,Fukuchiyama,JP,2EA04,135.1280145,35.30540682,1340.069825
JP_0001023,EA,Ono,Ono,Shirataki Bridge,JP,2EA05,131.6474699,33.16416096,1381.084032
JP_0001014,EA,Oyodo,Oyodo,Takaoka,JP,2EA06,131.3011,31.9547,2122.773994
JP_0000996,EA,Sendaigawa,Sendaigawa,Onofuchi,JP,2EA07,130.3358,31.8625,1396.373783
KR_0000006,EA,Han,Soyang,Soyanggang,KR,2EA08,127.81648,37.94583,2641.2944
CN_0000181,CN,Yangtze,Huai He,Bengbu,CN,3CN01,117.3624881,32.95416895,121978.0469
CN_0000190,CN,Yangtze,Yangtze,Cuntan,CN,3CN02,106.5958219,29.61250242,836141.125
CN_0000194,CN,Yangtze,Yangtze,Wulong,CN,3CN03,107.7624885,29.32083576,82566.92969
CN_0000195,CN,Yangtze,Yangtze,Yichang,CN,3CN04,111.279155,30.69583571,976666.3125
CN_0000192,CN,Yangtze,Yangtze,Luoshan,CN,3CN05,113.3458216,29.68750241,1267891.25
CN_0000191,CN,Yangtze,Yangtze,Hankou,CN,3CN06,114.2958216,30.57916904,1454027.5
CN_0000180,CN,Yangtze,Yangtze,Datong,CN,3CN07,117.6208214,30.7708357,1673631.5
CN_0000189,CN,Pearl,Dong Jiang,Boluo,CN,3CN08,114.3041549,23.16250267,25216.0957
KG_0000005,WA,Syr Darya,Naryn,Uch-Kurgan,KG,4WA01,72.11248992,41.15416862,57515.22656
TJ_0000003,WA,Amu Darya,Vakhsh,Garm,TJ,4WA02,70.32915665,39.00416871,19706.19336
PK_0000001,WA,Indus,Indus,Kachora,PK,4WA03,75.43696018,35.46234726,140880.1771
TH_0000134,SEA,Mekong,Mekong,Chiang Saen,TH,5SEA01,100.0958221,20.27083612,189829.4375
LA_0000001,SEA,Mekong,Nam Khan,Ban Mixay,LA,5SEA02,102.1791554,19.77916948,7241.086426
LA_0000002,SEA,Mekong,Mekong,Luang Prabang,LA,5SEA03,102.1374887,19.89583614,270957.875
LA_0000005,SEA,Mekong,Mekong,Vientiane,LA,5SEA04,102.6124887,17.92916955,301184.8125
TH_0000154,SEA,Mekong,Mekong,Nakhon Phanom,TH,5SEA05,104.79495,17.39667,372203.1179
TH_0000156,SEA,Mekong,Mekong,Mukdahan,TH,5SEA06,104.7458219,16.53750294,389972.3438
TH_0000163,SEA,Mekong,Nam Mun,Ubon,TH,5SEA07,104.8624886,15.22083632,106600.3984
LA_0000014,SEA,Mekong,Mekong,Pakse,LA,5SEA08,105.8041552,15.112503,546472.25
KH_0000004,SEA,Mekong,Mekong,Stung Treng,KH,5SEA09,105.9458219,13.52916973,636636.125
KH_0000002,SEA,Mekong,Mekong,Kompong Cham,KH,5SEA10,105.4708219,11.99583645,661471.125
TH_0000003,SEA,Chao Phraya,Nan,N.1,TH,5SEA11,100.7791554,18.77083618,4709.277344
TH_0000041,SEA,Chao Phraya,Ping,P.1,TH,5SEA12,99.00415551,18.78750285,6310.107422
TH_0000178,SEA,Chao Phraya,Chao Phraya,C.2,TH,5SEA13,100.1124888,15.67083631,110029.7422
PH_0000006,SEA,Angat,Angat,Angat,PH,5SEA14,121.1992461,14.99924528,474.0154898
ID_0000024,SEA,Citarum,Citarum,Citarum,ID,5SEA15,107.2942041,-6.730795205,3971.265148
BD_0000001,SA,Brahmaputra,Brahmaputra,Bahadurabad,BD,6SA01,89.69582255,25.17916926,512338.375
IN_0000028,SA,Narmada,Narmada,Barmanghat,IN,6SA02,79.0158,23.0297,26453
IN_0000036,SA,Narmada,Narmada,Mandleshwar,IN,6SA03,75.6608,22.1683,72809
IN_0000253,SA,Subarnarekha,Subarnarekha,Ghatsila,IN,6SA04,86.4683,22.5806,14176
IN_0000243,SA,Mahanadi,Mahanadi,Bamnidihi,IN,6SA05,82.7139,21.8978,9730
IN_0000234,SA,Mahanadi,Mahanadi,Basantpur,IN,6SA06,82.7881,21.7267,57780
IN_0000169,SA,Vamsadhara,Vamsadhara,Kashinagar,IN,6SA07,83.8731,18.8483,7820
IN_0000082,SA,Godavari,Godavari,Penganga Bridge,IN,6SA08,78.5747,19.8158,18441
IN_0000074,SA,Godavari,Godavari,Jagdalpur,IN,6SA09,82.02082285,19.11250284,7221.233887
IN_0000073,SA,Godavari,Godavari,Chindnar,IN,6SA10,81.3011,19.0794,17270
IN_0000071,SA,Godavari,Godavari,Pathagudem,IN,6SA11,80.3494,18.8525,40000
IN_0000067,SA,Godavari,Godavari,Saradaput,IN,6SA12,82.1428,18.6125,3047
IN_0000061,SA,Godavari,Godavari,Perur,IN,6SA13,80.3958,18.5872,268200
IN_0000099,SA,Godavari,Godavari,Konta,IN,6SA14,81.3928,17.7989,19550
IN_0000098,SA,Godavari,Godavari,Polavaram,IN,6SA15,81.6564,17.2519,307800
IN_0000117,SA,Krishna,Karad,Karad,IN,6SA16,74.18748983,17.29583624,5367.990723
IN_0000176,SA,Kaveri,Kaveri,Kollegal,IN,6SA17,77.1,12.1892,21082
IN_0000315,SA,Nethravathi,Nethravathi,Bantwal,IN,6SA19,75.0431,12.8844,3184
